dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,District,TOTAL CASES CONFIRMED(B/S & RDT),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),TOTAL POPULATION,Latitude,Longitude,Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,Adjumani District,1451151.0,3.2549,31.7195,128376.1239,3.2549,31.7195,11303.90103638267,ADJUMANI,10.803713220804156,4.104518803003513,0.002,1,True,2.0379479205664612,0.001,True,False
KYEGEGWA,Kyegegwa,"441,000",441000.0,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,KYEGEGWA,Kyegegwa District,609447.0,0.4818,31.055,397961.3775,0.4818,31.055,1531.4224808159934,KYEGEGWA,0.10451144440447754,1.0894364084433337,0.111,3,False,-0.4354383464473364,0.115,False,False
KYENJOJO,Kyenjojo,"525,400",525400.0,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,KYENJOJO,Kyenjojo District,457898.0,0.6093,30.6401,491549.5685,0.6093,30.6401,931.5398269950877,KYENJOJO,0.32482175529255003,1.114738606134529,0.104,3,False,-0.49257012299965647,0.105,False,False
KASESE,Kasese,"793,200",793200.0,KASESE,KASESE,KASESE,KASESE,KASESE,KASESE,Kasese District,865817.0,0.1699,0.0,786346.2565,0.1699,0.0,1101.0632947548088,KASESE,0.24265477650745287,1.122329484469868,0.099,3,False,-0.448316975458002,0.103,False,False
SHEEMA,Sheema,"220,500",220500.0,SHEEMA,SHEEMA,SHEEMA,SHEEMA,SHEEMA,SHEEMA,Sheema District,21139.0,0.5515,30.3897,233238.5217,0.5515,30.3897,90.63254151125928,SHEEMA,1.3242257953082401,2.643880330175346,0.001,3,True,-1.062815028163131,0.001,False,True
RUBIRIZI,Rubirizi,"144,100",144100.0,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,RUBIRIZI,Rubirizi District,131300.0,0.2642,30.1084,151338.3709,0.2642,30.1084,867.5922650625016,RUBIRIZI,0.48571229647670683,1.7116292056542644,0.016,3,True,-0.688114180079944,0.02,False,True
BUTALEJA,Butaleja,"300,500",300500.0,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,Butaleja District,531525.0,0.0,0.0,283270.0852,0.0,0.0,1876.3894522244457,BUTALEJA,-0.00027943972063454686,-0.18227213088986255,0.462,4,False,-0.06931143908679564,0.444,False,False
KIBAALE,Kibaale,"198,200",198200.0,KIBAALE,KIBAALE,KIBAALE,KIBAALE,KIBAALE,KIBAALE,Kibaale District,150219.0,0.8088,31.0335,192834.1418,0.8088,31.0335,779.0062413107386,KIBAALE,0.46678083734644216,1.3795768493466969,0.053,3,False,-0.6089329592322549,0.059,False,False
KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE,KIKUUBE,Kikuube District,700370.0,1.2375,30.9876,329958.7323,1.2375,30.9876,2122.598772028317,KIKUUBE,-0.14214791851311026,-1.7896886709598305,0.011,4,True,-0.7931062954509358,0.008,False,True
LWENGO,Lwengo,"290,500",290500.0,LWENGO,LWENGO,LWENGO,LWENGO,LWENGO,LWENGO,Lwengo District,262189.0,0.4165,31.3999,298580.4256,0.4165,31.3999,878.1185152145486,LWENGO,0.4020149059515199,1.310852904877231,0.068,3,False,-0.5763655445145381,0.068,False,False
